"iteration","status","n_pres","n_abs","loglik","pBIC","mu1","mu2","mu3","sigltil1","sigltil2","sigltil3","sigrtil1","sigrtil2","sigrtil3","ctil","pd","o_par1","o_par2","o_par3"
21,"success",573,573,-346.180951100372,776.890296968041,28.4512259902907,-7.20519576795621,16.2423656718419,Inf,0.488304085622475,1.85194507829871,-9.17469942831811,1.53819987710818,0.0678183223754726,-4.23299343563311,Inf,3.4316204925546,-5.78239301650558,-8.87468194111918
22,"success",582,582,-353.600987983971,791.917387507439,17.4212995454688,-7.4298070705935,15.3925642022429,Inf,-0.643543997371191,1.56011005253788,-9.60420454954598,2.02800539895391,0.453451658409518,-3.94216066303582,Inf,-0.392999027494546,-3.23007845683753,-0.602569517746182
23,"success",581,581,-350.039310488898,784.773396226738,15.9212907630231,-7.77312711393134,14.0539076359645,Inf,-0.695735643590918,2.62837757481348,-0.383051997221668,9.24197029539367,-1.05217890016861,-2.46876414895494,Inf,-6.75267910997065,-3.78323514686646,3.88711988458335
24,"success",567,567,-325.972017227834,736.34611226712,19.1900772868835,-7.79642116454855,14.2296238015188,Inf,2.24713133368488,-0.0694649950561264,0.407760641339371,-1.09211182585174,2.47844243035241,-3.53267994490261,Inf,-9.3296126013115,0.940462157188393,-2.30361851737536
25,"success",566,566,-338.351426469581,761.083748044319,22.8899426939005,11.7490968254535,12.0898069677388,Inf,-1.53530641869993,1.18631039343544,0.263950625513693,1.41587585411843,1.23996849154033,-3.7659791545253,Inf,0.875354345001278,2.13529028638961,-2.46870920033558
26,"success",566,566,-309.35313644694,703.087167999037,19.0784575157878,-9.84011236670304,18.1308261534457,Inf,0.80124097902529,2.24955852577989,-1.15235760582492,1.38451779761796,-3.39265513185394,-5.28247144372206,Inf,3.66772090912188,-4.36875565454447,-9.63686051815961
27,"success",573,573,-345.860543494547,776.249481756391,20.5345981058947,-5.48218869443189,17.5952746420688,Inf,-0.356333964357123,1.47262806129801,-9.71116109355615,2.1101235364979,0.721617544834576,-4.21148770974036,Inf,-2.06239831733015,-9.22752948137882,-0.225688304972488
28,"success",587,587,-360.672402914379,806.162869833414,30.3429816174192,-5.45990873614079,35.2516316470796,Inf,0.315753703402755,2.30424719710058,1.55222296627213,0.880913241240889,-11.1545275846553,-6.12411708446111,Inf,-7.98709827262207,-2.54548315850871,0.62861624782797
29,"success",582,582,-355.759317652176,796.234046843849,18.7541003904508,-1.98164570872835,15.9692128580746,Inf,1.37876141465043,1.85643527985725,-9.92174621885275,0.88505215868294,0.790150462047568,-3.83704376186206,Inf,-7.67720622461165,-5.3274599873264,-0.741949055044305
30,"success",590,590,-337.738843545701,760.356923700918,20.8985141227331,1.41721486160163,8.86717483382887,Inf,2.8051501452337,1.05628902249487,1.86903125596539,-0.581567257703543,-0.327186074553728,-3.27077508529028,Inf,-7.1766377762806,-3.44116603678438,7.04673680491673
31,"success",561,561,-338.755934235571,761.786285504134,19.0804633308375,-7.66256432016892,15.4744686810871,Inf,-0.846600481851095,0.37645695763536,-0.266753932004642,2.31001101641768,1.42399411673777,-3.81087116228932,Inf,-0.473394747591611,-2.13130990226133,-0.0497098015331456
32,"success",578,578,-339.607679508044,763.848011606875,17.7158799764581,-7.38911844333203,10.8327221311097,Inf,-1.15191380049462,2.68978086320136,-0.306354199680924,2.28494142504072,-0.692517746627295,-3.23618817201097,Inf,-0.861572759258439,-9.54421490999037,1.61628324624533
33,"success",562,562,-349.717123295751,783.730034956946,17.9713862156163,-6.34271548416737,12.9816778231356,Inf,-0.258267578532941,2.17606618661403,-0.432012360685125,1.82226885976597,-0.665726927778289,-3.51254340973981,Inf,7.75816308832299,4.8982765697544,-4.39808870432373
34,"success",596,596,-368.624019841877,822.248693855257,17.6565757066284,-4.38095699382244,11.2476509027937,Inf,-0.44199200256035,0.61342848801148,-0.827790998280097,2.45676430607779,1.36153806719673,-2.7720286767763,Inf,-2.17257083098955,-8.0215663074313,0.921115794245506
35,"success",567,567,-321.789918083116,727.981913977685,15.9286189483314,-4.20602622054302,21.3048059595244,Inf,0.85139049028171,2.414615962885,-0.694762230105641,8.90580664671243,-1.13652365220073,-3.12726504635405,Inf,-7.73265816350657,-4.3551461054615,2.64953539498886
36,"success",580,580,-332.417502913674,749.509109236553,16.8895976316945,-5.58425328498408,10.0710840226453,Inf,2.61027191460846,-0.743137201133529,-0.479050593739128,-1.01267230998955,47.5002669148344,-2.44023503330788,Inf,-9.66906605313614,0.705132967703484,-1.46082849911866
37,"success",543,543,-342.688915935581,769.260909877089,328.501438172675,-219.087305552939,12.292326233353,Inf,-1.09750689952101,2.13730598975686,3.45988267239683,45.8671678829845,0.207653153425057,-72.0277645297995,Inf,-1.36866315796405,-8.999288332785,2.78182130951403
38,"success",589,589,-319.511269144242,723.881418659022,20.9999920361566,2.71071549732654,17.6142248148832,Inf,1.04179497540127,1.64317001913499,2.25931619963789,1.06730247403687,-1.41854587157602,-4.86258829532272,Inf,1.59846558679764,1.02192851500556,-1.2776831171465
39,"success",567,567,-328.514045560167,741.430168931786,18.3793466445053,-13.1128000189347,19.7457387525004,Inf,0.104435804392113,49.3435502749534,2.48878358382944,32.9267913342567,0.563403937648388,-3.6928927732739,Inf,-2.5063747568331,-5.441492409206,7.41266326767283
40,"success",585,585,-372.587054421507,829.951217176516,14.205247093013,11.3297359358429,13.9363309880652,Inf,1.93759184455165,1.62474826039809,-9.27529648643924,-0.830856726773848,1.39157484096051,-3.19238495642676,Inf,6.75113710955836,5.05342080215884,-0.968644863463049
41,"success",565,565,-312.937139297851,710.233953536179,18.7946477907363,-11.620293648502,13.6808081644271,Inf,-2.49744434793605,-0.191300615170303,-0.655239828125362,2.37810922876734,1.95799959279412,-4.42567290016406,Inf,-5.81771470891208,-0.227237015443107,-3.74833964690595
42,"success",567,567,-329.30339708701,743.008871985471,18.1327635362522,-6.71223539466981,15.0868055529041,Inf,2.0718919080522,-1.00777650846367,-0.197115549047913,0.244210988848035,2.23934224747794,-3.62082831739531,Inf,-1.99418756292994,3.0542202695267,1.32745351165576
43,"success",559,559,-308.937438347738,702.106436540056,15.4681323465345,-12.0509426901372,14.9070250120408,Inf,13.2893763920563,2.48821481447111,-0.452345793452303,-0.578225230855821,-10.3300797005987,-3.22986902970962,Inf,7.24185220403792,5.22509168982225,0.00478082182897447
44,"success",559,559,-311.705972252188,707.643504348956,16.5572870892143,-5.27553716773118,14.0252893692661,Inf,-0.362534259537379,2.21031175489676,-0.47163286610976,1.64977545523419,-0.424431476960246,-3.6349529806261,Inf,-7.04804515605416,-3.84248011559318,3.36324257486632
45,"success",577,577,-360.444507471382,805.500888307581,9.62397930774771,0.56431715913315,14.4748188504729,Inf,-8.1304058634516,-0.230956446493551,1.12584187939737,1.79104344576185,1.45638072733688,-9.06825438911633,Inf,-6.98846265882711,-1.89459103340216,-1.55565777146538
46,"success",575,575,-359.972121888629,804.514450433545,16.9474611763841,-7.91907901320687,11.6681663677342,Inf,-1.41034930826504,-0.844504044465668,-0.506402124772906,2.47599097148369,11.6850843880244,-2.65667310075107,Inf,-0.448824839736207,-1.81422285599606,0.123964978886455
47,"success",562,562,-348.179567200251,780.654922765945,16.7305580079995,-11.6097340190488,16.2748151572294,Inf,-4.48274358361661,-0.224552081908879,-0.256613887675753,2.34407098756701,1.50473920469753,-4.12872520459688,Inf,0.996424447591081,4.11648482824415,0.019903935066654
48,"success",566,566,-328.347308158099,741.075511421356,23.5725062865609,-7.13723072076479,18.5612123662549,Inf,-1.05244353772739,0.982464277266377,-2.474149865781,2.15110940894673,1.20790560852114,-4.87066268375393,Inf,4.92695904065975,-0.610007585511091,2.67987908162007
49,"success",581,581,-346.855534340829,778.405843930601,23.6239721275454,12.044728706946,5.97750385607092,Inf,29.087158151455,40.919296109511,-0.154772045745826,-0.801369082238152,-0.665599163721293,-1.95905626205981,Inf,5.18524028031718,2.71525584913534,-5.64860790386951
50,"success",575,575,-374.730275048601,834.03075675349,18.6426170001346,-3.18549435033055,12.8762570258192,Inf,2.20492772879064,2.1583640600717,-0.0236160277225772,0.124437143470658,-0.364053657837065,-2.75171886475393,Inf,-7.67787923437116,1.89295455074435,5.25749298774358
51,"success",588,588,-322.018043743301,728.874577028105,25.8407786071873,-8.37552239864436,11.4118276588317,Inf,-0.358261302635754,2.00235064634964,-9.54783174502372,1.71653907721351,-0.48518356338688,-4.86215027512845,Inf,4.08468926384,-2.52727572427108,-10.1124394857722
52,"success",558,558,-331.247161975238,746.704397665772,20.209054391782,7.24706631151233,13.5515961850617,Inf,-1.22324171368142,1.35992799168364,0.991798972711649,1.95008185554854,0.948549733262806,-3.80112550088888,Inf,-0.512411848854877,-2.18395861588511,1.98466579688946
53,"success",558,558,-310.023281758049,704.256637231394,415.948177930664,-408.532433929675,31.5185055775826,Inf,27.8208814589816,1.48206534174775,-0.513593311402044,3.8003468966981,0.787087883334703,-83.9236244047367,Inf,0.709393837862143,8.42179038919982,3.40702906978109
54,"success",573,573,-346.204841590531,776.938077948359,20.3962233179062,-6.52801814552145,16.0160464720881,Inf,2.26246232715711,0.498490558302403,-0.682461372318086,-0.69960537173485,1.78442873246976,-3.96052157948147,Inf,-9.57112445663242,1.64032846721321,-0.864685833938106
55,"success",564,564,-326.440977990151,737.220373164999,16.6275642365202,-4.49116736291275,13.6897000743406,Inf,-0.345866086766367,-0.277021068866949,-0.482905386079669,2.2426929013597,283.756369863581,-2.88963202317671,Inf,-0.596402327618466,-1.96110488806017,0.0814367806623672
56,"success",590,590,-344.081523151241,773.042282911999,17.8585292354973,6.76224127249816,7.91398453138125,Inf,-8.93613724011876,0.398358689100192,1.60384949093251,11.8232279754048,1.37948917404871,-2.91693466657525,Inf,-2.16318123856581,6.23305344305358,-7.96711669735985
57,"success",560,560,-305.386868327952,695.026744227373,18.9507858631401,-8.264195034201,19.3830310688149,Inf,-1.5759544410489,1.52498679066343,-1.03867636296905,2.39289240768387,0.834613783433747,-4.25907108085871,Inf,-0.56257237057162,-3.28771874474184,0.521967118075482
58,"success",577,577,-354.675576256672,793.963025878161,28.7878948706548,0.490243882201806,11.6455225196055,Inf,1.54367184834866,1.29511348327679,-1.98265483797845,0.245352471756765,1.43533041365783,-4.48042820097337,Inf,-1.7820738634332,-1.40094246706114,-7.92288184595591
59,"success",580,580,-314.96503956264,714.604182534485,24.4678046327636,-6.28214414099931,29.3153056389258,Inf,0.872149423683139,2.55675227562711,13.184395954584,2.15390008782618,-9.33246476410828,-2.60647477510702,Inf,-7.48196607381877,-4.96316677943349,-3.02646150070264
60,"success",566,566,-344.605957067243,773.592809239645,20.8177657669377,-6.51515736682791,20.3203168437772,Inf,-0.879801077940121,1.1800049016694,-3.75471049465674,2.18710623376769,1.22310774565452,-4.24874195097002,Inf,-0.584092438036753,-3.10534821184837,-0.176543080226861
61,"success",571,571,-332.109212804599,748.704862291789,13.9902050791523,4.89523119741021,17.7967396442008,Inf,-0.0597197152844567,2.05711935769755,-2.38889774334073,2.18945762334866,0.79737672119861,-2.93061770545847,Inf,-8.12042917158359,-3.21529663839191,2.78689276641064
62,"success",588,588,-327.193308132408,739.225105806319,16.8056934650464,-9.05257966861931,13.8574421337459,Inf,-1.12002916490585,-0.489333438769601,-0.600671753136004,2.37838550496188,1.30127580012343,-3.85409858787423,Inf,-0.522044423995976,-1.91343576465383,0.000975792076938773
63,"success",575,575,-356.745386463938,798.060979584164,19.1357741205971,-2.62924234457971,11.4541620629409,Inf,2.19929609138842,-0.100645574110182,-0.844571175527003,0.199417461601383,2.51073563849864,-2.8460580315696,Inf,-9.64311819867372,0.979994797319472,-1.26745229268402
64,"success",548,548,-303.777060412358,691.547190434812,16.2619528875509,-10.3081422000967,16.7358425069672,Inf,-1.6437777809723,-0.205237010608355,-0.380005858811621,2.52165891604046,1.46655460059842,-3.64127761659902,Inf,-2.47181144854219,-7.97467402637249,-0.111547956738576
65,"success",577,577,-359.109457185131,802.830787735078,28.8600253653315,1.74038694437702,12.2008761967266,Inf,1.39786983831,0.510097116548141,-1.89135308727527,1.24549378482421,1.43094024823602,-4.75478901488662,Inf,-5.9582003409153,0.372066906347259,-3.43188515729368
66,"success",573,573,-339.645190999151,763.818776765597,19.3432072188005,-5.77788542392234,16.0276760647562,Inf,1.67577124484417,-0.408221092035515,0.358000558995952,-0.377996640782662,2.20910200200372,-3.46090233885449,Inf,-1.68206169188778,3.11809051503293,1.69362195999547
67,"success",588,588,-335.143314554901,755.125118651304,22.9412365954258,6.93249870583881,7.09498143267318,Inf,1.92869271913125,0.905806445229904,0.919715843877452,-0.424670339642959,-1.06153890721512,-4.28876421022099,Inf,-6.65976461263596,-3.61143081516673,7.3951068168287
68,"success",546,546,-326.932762294816,737.81471846529,16.6937078165332,-4.20659268127331,11.3212534152701,Inf,2.27469129567114,-0.393484331276274,-0.969701694283931,-0.161529466120606,2.33972967087485,-2.70077561312796,Inf,-1.98740336000435,3.14629836602428,1.47293414910146
69,"success",576,576,-342.522966341429,769.636990777927,28.9379272998646,-3.6816045924938,12.1129086221747,Inf,0.589634601562888,-0.246206719131523,-1.82569110748059,1.90786709997487,1.71637680687146,-4.28871656408522,Inf,-2.4855836312804,1.8364016146805,-6.05556066703593
70,"success",556,556,-336.410644438287,756.988274574301,15.7938564771964,-12.2992838892979,14.5325141986325,Inf,-3.54693456931496,-0.408748768654187,-0.854041802822331,2.44837678180359,1.34325334567624,-3.84351857735311,Inf,-0.540939205288159,-1.9126039605843,0.00702439026919193
